ABUNDANCE,ADDITIONS,AGGREGATED,CLASS,CONDITION,CORRECTED,CTDEEP.LabID,DATE_COL,DEEPTaxaID,Device,DISTINCT,FAMILY,GENUS,Habitat,IMMATURE,INDETERMINATE,INFRACLASS,INFRAORDER,KINGDOM,LAB_COM,LAB_NAME,LAB_SAMPLE_ID,LAB_TIN,LIFE_STAGE,ORDER,PHYLUM,Rep,SAMPTYPE,SERIAL,SPECIES,staSeq,Stream,SUBCLASS,SUBFAMILY,SUBGENUS,SUBORDER,SUBPHYLUM,SUBSPECIES,SUBTRIBE,SUPERFAMILY,SUPERORDER,finalID,TAXONOMIST,TRIBE,NOTES
1,NA,0,Insecta,N,1,RBV-2025-021,10/19/2025,769 (Ceratopsyche sparna),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-21,561,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115527,Hydropsyche sparna,21118,Plum Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche sparna,L. Smith,NA,
2,NA,0,Insecta,N,2,RBV-2025-023,9/13/2025,768 (Ceratopsyche slossonae),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-23,560,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115587,Hydropsyche slossonae,20486,Carmel Hill Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche slossonae,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-023,9/13/2025,769 (Ceratopsyche sparna),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-23,561,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115527,Hydropsyche sparna,20486,Carmel Hill Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche sparna,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-029,9/20/2025,14 (Ceratopsyche morosa),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-29,552,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115581,Hydropsyche morosa,14396,Pine Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche morosa,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-031,9/6/2025,493 (Family),KN1M2,Y,Dryopidae,Helichus,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-31,10811,Adults,Coleoptera,Arthropoda,1,ABM-RBV,114015,Helichus suturalis,16121,Flat Brook,Pterygota,NA,NA,Polyphaga,Hexapoda,NA,NA,NA,NA,Helichus suturalis,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-032,9/6/2025,493 (Family),KN1M2,Y,Dryopidae,Helichus,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-32,10811,Adults,Coleoptera,Arthropoda,1,ABM-RBV,114015,Helichus suturalis,20373,Bigelow Brook,Pterygota,NA,NA,Polyphaga,Hexapoda,NA,NA,NA,NA,Helichus suturalis,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-034,9/4/2025,Not on CTDEEP Taxa List,KN1M2,Y,Ptychopteridae,Ptychoptera,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-34,1087,Larvae,Diptera,Arthropoda,1,ABM-RBV,125786,sp.,21119,Sunset Hill Brook,NA,NA,NA,Nematocera,Hexapoda,NA,NA,NA,NA,Ptychoptera sp.,L. Smith,NA,Create new ID  Ptychoptera sp. Is valid in IT IS and WQX
1,NA,0,Insecta,N,1,RBV-2025-034,9/4/2025,Not on CTDEEP Taxa List,KN1M2,Y,Tabanidae,Atylotus/Tabanus,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-34,3291,Larvae,Diptera,Arthropoda,1,ABM-RBV,131476,sp.,21119,Sunset Hill Brook,NA,NA,NA,Brachycera,Hexapoda,NA,NA,NA,NA,Atylotus/Tabanus sp.,L. Smith,NA,Tabanus (540) present on DEEP Taxa List; specimen can not be distinguished as either Atylotus or Tabanus (go up to family level for this? Tabanidae DEEPTaxaID 538)
2,NA,0,Insecta,N,2,RBV-2025-035,10/17/2025,766 (Ceratopsyche bronta),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-35,547,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115578,Hydropsyche bronta,16657,Fenton River,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche bronta,L. Smith,NA,
3,NA,0,Insecta,N,3,RBV-2025-041,4/25/2025,455 (Genus),KN1M2,Y,Ephemerellidae,Drunella,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-41,165,Larvae,Ephemeroptera,Arthropoda,1,ABM-RBV,101366,Drunella cornutella,15312,Beaver Brook,NA,NA,NA,NA,Hexapoda,NA,NA,NA,NA,Drunella cornutella,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-042,4/25/2025,455 (Genus),KN1M2,Y,Ephemerellidae,Drunella,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-42,165,Larvae,Ephemeroptera,Arthropoda,1,ABM-RBV,101366,Drunella cornutella,19458,Roaring Brook,NA,NA,NA,NA,Hexapoda,NA,NA,NA,NA,Drunella cornutella,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-042,4/25/2025,769 (Ceratopsyche sparna),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-42,561,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115527,Hydropsyche sparna,19458,Roaring Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche sparna,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-049,10/24/2025,14 (Ceratopsyche morosa),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-49,552,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115581,Hydropsyche morosa,19458,Roaring Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche morosa,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-057,3/28/2025,Not on CTDEEP Taxa List,KN1M2,Y,Simuliidae,Helodon/Prosimulium,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-57,8076,Larvae,Diptera,Arthropoda,1,ABM-RBV,126703,sp.,19214,Harris Brook,NA,NA,NA,Nematocera,Hexapoda,NA,NA,NA,NA,Helodon/Prosimulium sp.,L. Smith,NA,Prosimulium (684) present on DEEP Taxa List; specimen can not be distinguished as either Helodon or Prosimulium (go up to family on this? Simuliidae DEEP ID 683
2,NA,0,Insecta,N,2,RBV-2025-059,9/23/2025,766 (Ceratopsyche bronta),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-59,547,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115578,Hydropsyche bronta,18734,Pootatuck River,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche bronta,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-060,10/16/2025,493 (Family),KN1M2,Y,Dryopidae,Helichus,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-60,10811,Adults,Coleoptera,Arthropoda,1,ABM-RBV,114015,Helichus suturalis,14406,Pootatuck River,Pterygota,NA,NA,Polyphaga,Hexapoda,NA,NA,NA,NA,Helichus suturalis,L. Smith,NA,
3,NA,0,Insecta,N,3,RBV-2025-060,10/16/2025,766 (Ceratopsyche bronta),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-60,547,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115578,Hydropsyche bronta,14406,Pootatuck River,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche bronta,L. Smith,NA,
