"ABUNDANCE","ADDITIONS","AGGREGATED","CLASS","CONDITION","CORRECTED","CTDEEP.LabID","DATE_COL","DEEPTaxaID","Device","DISTINCT","FAMILY","GENUS","Habitat","IMMATURE","INDETERMINATE","INFRACLASS","INFRAORDER","KINGDOM","LAB_COM","LAB_NAME","LAB_SAMPLE_ID","LAB_TIN","LIFE_STAGE","ORDER","PHYLUM","Rep","SAMPTYPE","SERIAL","SPECIES","staSeq","Stream","SUBCLASS","SUBFAMILY","SUBGENUS","SUBORDER","SUBPHYLUM","SUBSPECIES","SUBTRIBE","SUPERFAMILY","SUPERORDER","TAXON_NAME","TAXONOMIST","TRIBE","finalID"
1,,0,"Insecta","N",1,"RBV-2025-021",2025-10-19,"769 (Ceratopsyche sparna)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-21",561,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115527,"Hydropsyche sparna",21118,"Plum Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche sparna","L. Smith",,"Hydropsyche sparna"
2,,0,"Insecta","N",2,"RBV-2025-023",2025-09-13,"768 (Ceratopsyche slossonae)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-23",560,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115587,"Hydropsyche slossonae",20486,"Carmel Hill Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche slossonae","L. Smith",,"Hydropsyche slossonae"
1,,0,"Insecta","N",1,"RBV-2025-023",2025-09-13,"769 (Ceratopsyche sparna)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-23",561,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115527,"Hydropsyche sparna",20486,"Carmel Hill Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche sparna","L. Smith",,"Hydropsyche sparna"
1,,0,"Insecta","N",1,"RBV-2025-029",2025-09-20,"14 (Ceratopsyche morosa)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-29",552,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115581,"Hydropsyche morosa",14396,"Pine Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche morosa","L. Smith",,"Hydropsyche morosa"
1,,0,"Insecta","N",1,"RBV-2025-031",2025-09-06,"493 (Family)","KN1M2","Y","Dryopidae","Helichus","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-31",10811,"Adults","Coleoptera","Arthropoda",1,"ABM-RBV",114015,"Helichus suturalis",16121,"Flat Brook","Pterygota",,,"Polyphaga","Hexapoda",,,,,"Helichus suturalis","L. Smith",,"Helichus suturalis"
1,,0,"Insecta","N",1,"RBV-2025-032",2025-09-06,"493 (Family)","KN1M2","Y","Dryopidae","Helichus","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-32",10811,"Adults","Coleoptera","Arthropoda",1,"ABM-RBV",114015,"Helichus suturalis",20373,"Bigelow Brook","Pterygota",,,"Polyphaga","Hexapoda",,,,,"Helichus suturalis","L. Smith",,"Helichus suturalis"
1,,0,"Insecta","N",1,"RBV-2025-034",2025-09-04,"Not on CTDEEP Taxa List","KN1M2","Y","Ptychopteridae","Ptychoptera","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-34",1087,"Larvae","Diptera","Arthropoda",1,"ABM-RBV",125786,"sp.",21119,"Sunset Hill Brook",,,,"Nematocera","Hexapoda",,,,,"Ptychoptera sp.","L. Smith",,"Ptychoptera"
1,,0,"Insecta","N",1,"RBV-2025-034",2025-09-04,"Not on CTDEEP Taxa List","KN1M2","Y","Tabanidae","Atylotus/Tabanus","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-34",3291,"Larvae","Diptera","Arthropoda",1,"ABM-RBV",131476,"sp.",21119,"Sunset Hill Brook",,,,"Brachycera","Hexapoda",,,,,"Atylotus/Tabanus sp.","L. Smith",,"Atylotus/Tabanus"
2,,0,"Insecta","N",2,"RBV-2025-035",2025-10-17,"766 (Ceratopsyche bronta)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-35",547,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115578,"Hydropsyche bronta",16657,"Fenton River","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche bronta","L. Smith",,"Hydropsyche bronta"
3,,0,"Insecta","N",3,"RBV-2025-041",2025-04-25,"455 (Genus)","KN1M2","Y","Ephemerellidae","Drunella","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-41",165,"Larvae","Ephemeroptera","Arthropoda",1,"ABM-RBV",101366,"Drunella cornutella",15312,"Beaver Brook",,,,,"Hexapoda",,,,,"Drunella cornutella","L. Smith",,"Drunella cornutella"
1,,0,"Insecta","N",1,"RBV-2025-042",2025-04-25,"455 (Genus)","KN1M2","Y","Ephemerellidae","Drunella","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-42",165,"Larvae","Ephemeroptera","Arthropoda",1,"ABM-RBV",101366,"Drunella cornutella",19458,"Roaring Brook",,,,,"Hexapoda",,,,,"Drunella cornutella","L. Smith",,"Drunella cornutella"
1,,0,"Insecta","N",1,"RBV-2025-042",2025-04-25,"769 (Ceratopsyche sparna)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-42",561,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115527,"Hydropsyche sparna",19458,"Roaring Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche sparna","L. Smith",,"Hydropsyche sparna"
1,,0,"Insecta","N",1,"RBV-2025-049",2025-10-24,"14 (Ceratopsyche morosa)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-49",552,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115581,"Hydropsyche morosa",19458,"Roaring Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche morosa","L. Smith",,"Hydropsyche morosa"
1,,0,"Insecta","N",1,"RBV-2025-057",2025-03-28,"Not on CTDEEP Taxa List","KN1M2","Y","Simuliidae","Helodon/Prosimulium","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-57",8076,"Larvae","Diptera","Arthropoda",1,"ABM-RBV",126703,"sp.",19214,"Harris Brook",,,,"Nematocera","Hexapoda",,,,,"Helodon/Prosimulium sp.","L. Smith",,"Helodon/Prosimulium"
2,,0,"Insecta","N",2,"RBV-2025-059",2025-09-23,"766 (Ceratopsyche bronta)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-59",547,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115578,"Hydropsyche bronta",18734,"Pootatuck River","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche bronta","L. Smith",,"Hydropsyche bronta"
1,,0,"Insecta","N",1,"RBV-2025-060",2025-10-16,"493 (Family)","KN1M2","Y","Dryopidae","Helichus","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-60",10811,"Adults","Coleoptera","Arthropoda",1,"ABM-RBV",114015,"Helichus suturalis",14406,"Pootatuck River","Pterygota",,,"Polyphaga","Hexapoda",,,,,"Helichus suturalis","L. Smith",,"Helichus suturalis"
3,,0,"Insecta","N",3,"RBV-2025-060",2025-10-16,"766 (Ceratopsyche bronta)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-60",547,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115578,"Hydropsyche bronta",14406,"Pootatuck River","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche bronta","L. Smith",,"Hydropsyche bronta"
