"CTDEEP.LabID","staSeq","locationName","DATE_COL","FAMILY","finalID"
"RBV-2025-050",15312,"Beaver Brook",2025-10-24,"Peltoperlidae","Tallaperla"
"RBV-2025-050",15312,"Beaver Brook",2025-10-24,NA,"Plecoptera"
"RBV-2025-048",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",2025-10-17,"Perlidae","Perlidae"
"RBV-2025-048",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",2025-10-17,"Peltoperlidae","Tallaperla"
"RBV-2025-045",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",2025-03-28,"Perlidae","Eccoptura xanthenes"
"RBV-2025-048",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",2025-10-17,"Brachycentridae","Micrasema"
"RBV-2025-048",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",2025-10-17,"Leuctridae","Leuctridae"
"RBV-2025-017",15375,"Aspetuck River",2025-10-16,"Heptageniidae","Epeorus"
"RBV-2025-017",15375,"Aspetuck River",2025-10-16,"Isonychiidae","Isonychia"
"RBV-2025-017",15375,"Aspetuck River",2025-10-16,"Perlidae","Paragnetina media"
"RBV-2025-006",15554,"Morgan Brook",2025-10-27,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-006",15554,"Morgan Brook",2025-10-27,"Perlidae","Paragnetina media"
"RBV-2025-006",15554,"Morgan Brook",2025-10-27,"Isonychiidae","Isonychia"
"RBV-2025-031",16121,"Flat Brook",2025-09-06,"Leuctridae","Leuctra"
"RBV-2025-031",16121,"Flat Brook",2025-09-06,"Chloroperlidae","Sweltsa"
"RBV-2025-031",16121,"Flat Brook",2025-09-06,"Isonychiidae","Isonychia"
"RBV-2025-031",16121,"Flat Brook",2025-09-06,"Perlidae","Acroneuria abnormis"
"RBV-2025-031",16121,"Flat Brook",2025-09-06,"Heptageniidae","Epeorus"
"RBV-2025-031",16121,"Flat Brook",2025-09-06,"Peltoperlidae","Tallaperla"
"RBV-2025-044",16123,"Muddy Brook",2025-04-25,"Chloroperlidae","Sweltsa"
"RBV-2025-044",16123,"Muddy Brook",2025-04-25,"Perlidae","Perlidae"
"RBV-2025-044",16123,"Muddy Brook",2025-04-25,"Peltoperlidae","Tallaperla"
"RBV-2025-044",16123,"Muddy Brook",2025-04-25,"Heptageniidae","Epeorus"
"RBV-2025-001",16370,"Bunnell Brook",2025-09-16,"Glossosomatidae","Glossosoma"
"RBV-2025-001",16370,"Bunnell Brook",2025-09-16,"Perlidae","Acroneuria abnormis"
"RBV-2025-001",16370,"Bunnell Brook",2025-09-16,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-001",16370,"Bunnell Brook",2025-09-16,"Heptageniidae","Epeorus"
"RBV-2025-038",16484,"Ballymahack Brook",2025-10-23,"Lepidostomatidae","Lepidostoma"
"RBV-2025-038",16484,"Ballymahack Brook",2025-10-23,"Perlidae","Perlidae"
"RBV-2025-038",16484,"Ballymahack Brook",2025-10-23,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-038",16484,"Ballymahack Brook",2025-10-23,"Peltoperlidae","Tallaperla"
"RBV-2025-038",16484,"Ballymahack Brook",2025-10-23,"Apataniidae","Apatania"
"RBV-2025-009",16587,"Converse Pond Brook",2025-10-20,"Perlidae","Acroneuria abnormis"
"RBV-2025-009",16587,"Converse Pond Brook",2025-10-20,"Isonychiidae","Isonychia"
"RBV-2025-035",16657,"Fenton River",2025-10-17,"Heptageniidae","Epeorus"
"RBV-2025-035",16657,"Fenton River",2025-10-17,"Isonychiidae","Isonychia"
"RBV-2025-035",16657,"Fenton River",2025-10-17,"Peltoperlidae","Tallaperla"
"RBV-2025-035",16657,"Fenton River",2025-10-17,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-035",16657,"Fenton River",2025-10-17,"Perlidae","Paragnetina"
"RBV-2025-030",17022,"Salmon River",2025-09-06,"Chloroperlidae","Chloroperlidae"
"RBV-2025-030",17022,"Salmon River",2025-09-06,"Heptageniidae","Epeorus"
"RBV-2025-030",17022,"Salmon River",2025-09-06,"Perlidae","Acroneuria abnormis"
"RBV-2025-022",17125,"Transylvania Brook",2025-09-20,"Glossosomatidae","Glossosoma"
"RBV-2025-016",17172,"Wangum Lake Brook",2025-05-31,"Heptageniidae","Epeorus"
"RBV-2025-016",17172,"Wangum Lake Brook",2025-05-31,"Chloroperlidae","Chloroperlidae"
"RBV-2025-016",17172,"Wangum Lake Brook",2025-05-31,"Perlidae","Paragnetina"
"RBV-2025-016",17172,"Wangum Lake Brook",2025-05-31,"Glossosomatidae","Agapetus"
"RBV-2025-012",17978,"Raymond Brook",2025-10-28,"Perlidae","Acroneuria abnormis"
"RBV-2025-012",17978,"Raymond Brook",2025-10-28,"Isonychiidae","Isonychia"
"RBV-2025-012",17978,"Raymond Brook",2025-10-28,"Lepidostomatidae","Lepidostoma"
"RBV-2025-003",18390,"East Branch Eightmile River",2025-11-17,"Brachycentridae","Brachycentrus lateralis"
"RBV-2025-003",18390,"East Branch Eightmile River",2025-11-17,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-003",18390,"East Branch Eightmile River",2025-11-17,"Glossosomatidae","Glossosoma"
"RBV-2025-003",18390,"East Branch Eightmile River",2025-11-17,"Perlidae","Acroneuria abnormis"
"RBV-2025-003",18390,"East Branch Eightmile River",2025-11-17,"Isonychiidae","Isonychia"
"RBV-2025-011",18409,"Fawn Brook",2025-10-23,"Perlidae","Acroneuria abnormis"
"RBV-2025-011",18409,"Fawn Brook",2025-10-23,"Isonychiidae","Isonychia"
"RBV-2025-011",18409,"Fawn Brook",2025-10-23,"Capniidae","Capniidae"
"RBV-2025-059",18734,"Pootatuck river",2025-09-23,"Isonychiidae","Isonychia"
"RBV-2025-059",18734,"Pootatuck river",2025-09-23,"Rhyacophilidae","Rhyacophila"
"RBV-2025-059",18734,"Pootatuck river",2025-09-23,"Perlidae","Paragnetina media"
"RBV-2025-059",18734,"Pootatuck river",2025-09-23,"Glossosomatidae","Glossosoma"
"RBV-2025-028",18981,"Lyman Brook",2025-10-11,"Capniidae","Capniidae"
"RBV-2025-028",18981,"Lyman Brook",2025-10-11,"Perlidae","Acroneuria abnormis"
"RBV-2025-028",18981,"Lyman Brook",2025-10-11,"Chloroperlidae","Sweltsa"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Brachycentridae","Brachycentrus appalachia"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Glossosomatidae","Glossosoma"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Isonychiidae","Isonychia"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Perlidae","Acroneuria"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Heptageniidae","Epeorus"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Peltoperlidae","Tallaperla"
"RBV-2025-040",19000,"Beaver Brook",2025-11-04,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-004",19146,"Stratton Brook",2025-11-13,"Perlidae","Acroneuria abnormis"
"RBV-2025-004",19146,"Stratton Brook",2025-11-13,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-004",19146,"Stratton Brook",2025-11-13,"Isonychiidae","Isonychia"
"RBV-2025-057",19214,"Harris Brook",2025-03-28,"Heptageniidae","Epeorus"
"RBV-2025-057",19214,"Harris Brook",2025-03-28,"Isonychiidae","Isonychia"
"RBV-2025-057",19214,"Harris Brook",2025-03-28,"Perlidae","Acroneuria abnormis"
"RBV-2025-055",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",2025-03-28,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-055",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",2025-03-28,"Perlidae","Paragnetina media"
"RBV-2025-055",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",2025-03-28,"Taeniopterygidae","Taeniopterygidae"
"RBV-2025-055",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",2025-03-28,"Brachycentridae","Brachycentrus"
"RBV-2025-039",19252,"Keach Brook",2025-11-03,"Perlidae","Perlidae"
"RBV-2025-039",19252,"Keach Brook",2025-11-03,"Perlodidae","Perlodidae"
"RBV-2025-039",19252,"Keach Brook",2025-11-03,"Peltoperlidae","Tallaperla"
"RBV-2025-039",19252,"Keach Brook",2025-11-03,"Lepidostomatidae","Lepidostoma"
"RBV-2025-025",19455,"Blackledge River",2025-10-23,"Perlidae","Acroneuria"
"RBV-2025-025",19455,"Blackledge River",2025-10-23,"Heptageniidae","Epeorus"
"RBV-2025-042",19458,"Roaring Brook #2",2025-04-25,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Perlidae","Acroneuria"
"RBV-2025-042",19458,"Roaring Brook #2",2025-04-25,"Perlodidae","Isoperla"
"RBV-2025-042",19458,"Roaring Brook #2",2025-04-25,"Ephemerellidae","Drunella cornutella"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Lepidostomatidae","Lepidostoma"
"RBV-2025-042",19458,"Roaring Brook #2",2025-04-25,"Lepidostomatidae","Lepidostoma"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Heptageniidae","Epeorus"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Glossosomatidae","Glossosomatidae"
"RBV-2025-042",19458,"Roaring Brook #2",2025-04-25,"Perlidae","Acroneuria abnormis"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Isonychiidae","Isonychia"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Brachycentridae","Brachycentrus appalachia"
"RBV-2025-042",19458,"Roaring Brook #2",2025-04-25,"Heptageniidae","Epeorus"
"RBV-2025-049",19458,"Roaring Brook #2",2025-10-24,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-002",19713,"Eightmile River",2025-09-11,"Glossosomatidae","Glossosoma"
"RBV-2025-002",19713,"Eightmile River",2025-09-11,"Perlidae","Acroneuria abnormis"
"RBV-2025-002",19713,"Eightmile River",2025-09-11,"Isonychiidae","Isonychia"
"RBV-2025-002",19713,"Eightmile River",2025-09-11,"Heptageniidae","Epeorus"
"RBV-2025-002",19713,"Eightmile River",2025-09-11,"Brachycentridae","Brachycentrus appalachia"
"RBV-2025-018",20046,"Spruce Brook",2025-09-21,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-018",20046,"Spruce Brook",2025-09-21,"Perlidae","Eccoptura xanthenes"
"RBV-2025-062",20096,"Shepaug River, Unnamed tributary to (""Curtis Brook"")",2025-10-21,"Glossosomatidae","Glossosoma"
"RBV-2025-062",20096,"Shepaug River, Unnamed tributary to (""Curtis Brook"")",2025-10-21,"Chloroperlidae","Sweltsa"
"RBV-2025-013",20314,"Round Hill Brook",2025-11-08,"Perlidae","Acroneuria abnormis"
"RBV-2025-013",20314,"Round Hill Brook",2025-11-08,"Lepidostomatidae","Lepidostoma"
"RBV-2025-013",20314,"Round Hill Brook",2025-11-08,"Capniidae","Capniidae"
"RBV-2025-013",20314,"Round Hill Brook",2025-11-08,"Glossosomatidae","Glossosoma"
"RBV-2025-032",20373,"Salmon River, Unnamed tributary to",2025-09-06,"Leuctridae","Leuctra"
"RBV-2025-032",20373,"Salmon River, Unnamed tributary to",2025-09-06,"Glossosomatidae","Glossosoma"
"RBV-2025-032",20373,"Salmon River, Unnamed tributary to",2025-09-06,"Perlidae","Acroneuria abnormis"
"RBV-2025-019",20378,"Wood Creek",2025-09-21,"Peltoperlidae","Tallaperla"
"RBV-2025-019",20378,"Wood Creek",2025-09-21,"Perlidae","Acroneuria abnormis"
"RBV-2025-019",20378,"Wood Creek",2025-09-21,"Isonychiidae","Isonychia"
"RBV-2025-019",20378,"Wood Creek",2025-09-21,"Rhyacophilidae","Rhyacophila carolina"
"RBV-2025-023",20486,"Carmel Hill Brook",2025-09-13,"Peltoperlidae","Tallaperla"
"RBV-2025-023",20486,"Carmel Hill Brook",2025-09-13,"Rhyacophilidae","Rhyacophila carolina"
"RBV-2025-023",20486,"Carmel Hill Brook",2025-09-13,"Perlidae","Acroneuria"
"RBV-2025-023",20486,"Carmel Hill Brook",2025-09-13,"Pteronarcyidae","Pteronarcys"
"RBV-2025-023",20486,"Carmel Hill Brook",2025-09-13,"Isonychiidae","Isonychia"
"RBV-2025-026",20509,"Elbow Brook",2025-10-14,"Chloroperlidae","Sweltsa"
"RBV-2025-026",20509,"Elbow Brook",2025-10-14,"Leuctridae","Leuctridae"
"RBV-2025-026",20509,"Elbow Brook",2025-10-14,"Glossosomatidae","Glossosoma"
"RBV-2025-026",20509,"Elbow Brook",2025-10-14,"Peltoperlidae","Tallaperla"
"RBV-2025-026",20509,"Elbow Brook",2025-10-14,"Perlidae","Acroneuria abnormis"
"RBV-2025-008",20799,"Roaring Brook",2025-09-27,"Perlidae","Acroneuria abnormis"
"RBV-2025-008",20799,"Roaring Brook",2025-09-27,"Glossosomatidae","Glossosoma"
"RBV-2025-010",20805,"Mianus River",2025-05-28,"Perlidae","Perlesta"
"RBV-2025-051",20883,"Harris Brook ",2025-10-24,"Perlidae","Acroneuria abnormis"
"RBV-2025-051",20883,"Harris Brook ",2025-10-24,"Isonychiidae","Isonychia"
"RBV-2025-056",20884,"Fraser Brook ",2025-03-28,"Peltoperlidae","Tallaperla"
"RBV-2025-053",20884,"Fraser Brook ",2025-11-07,"Peltoperlidae","Tallaperla"
"RBV-2025-053",20884,"Fraser Brook ",2025-11-07,"Perlidae","Acroneuria abnormis"
"RBV-2025-056",20884,"Fraser Brook ",2025-03-28,"Heptageniidae","Epeorus"
"RBV-2025-053",20884,"Fraser Brook ",2025-11-07,"Lepidostomatidae","Lepidostoma"
"RBV-2025-056",20884,"Fraser Brook ",2025-03-28,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-056",20884,"Fraser Brook ",2025-03-28,"Taeniopterygidae","Taeniopterygidae"
"RBV-2025-056",20884,"Fraser Brook ",2025-03-28,"Perlidae","Acroneuria abnormis"
"RBV-2025-043",20976,"NNT to Eightmile River",2025-04-25,"Heptageniidae","Epeorus"
"RBV-2025-043",20976,"NNT to Eightmile River",2025-04-25,"Peltoperlidae","Tallaperla"
"RBV-2025-043",20976,"NNT to Eightmile River",2025-04-25,"Chloroperlidae","Sweltsa"
"RBV-2025-043",20976,"NNT to Eightmile River",2025-04-25,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-043",20976,"NNT to Eightmile River",2025-04-25,"Leuctridae","Leuctra"
"RBV-2025-043",20976,"NNT to Eightmile River",2025-04-25,"Perlidae","Eccoptura xanthenes"
"RBV-2025-052",21112,"NNT to Eightmile River",2025-10-24,"Chloroperlidae","Sweltsa"
"RBV-2025-052",21112,"NNT to Eightmile River",2025-10-24,"Peltoperlidae","Tallaperla"
"RBV-2025-052",21112,"NNT to Eightmile River",2025-10-24,"Perlidae","Acroneuria abnormis"
"RBV-2025-047",21113,"Ransom Brook",2025-10-17,"Brachycentridae","Brachycentrus lateralis"
"RBV-2025-047",21113,"Ransom Brook",2025-10-17,"Peltoperlidae","Tallaperla"
"RBV-2025-047",21113,"Ransom Brook",2025-10-17,"Perlidae","Paragnetina media"
"RBV-2025-046",21114,"Harris Brook",2025-10-17,"Perlidae","Acroneuria"
"RBV-2025-046",21114,"Harris Brook",2025-10-17,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-046",21114,"Harris Brook",2025-10-17,"Isonychiidae","Isonychia"
"RBV-2025-033",21115,"NNT to Blackledge River",2025-11-19,"Rhyacophilidae","Rhyacophila carolina"
"RBV-2025-033",21115,"NNT to Blackledge River",2025-11-19,"Perlidae","Eccoptura xanthenes"
"RBV-2025-033",21115,"NNT to Blackledge River",2025-11-19,"Heptageniidae","Epeorus"
"RBV-2025-033",21115,"NNT to Blackledge River",2025-11-19,"Capniidae","Paracapnia"
"RBV-2025-033",21115,"NNT to Blackledge River",2025-11-19,"Peltoperlidae","Tallaperla"
"RBV-2025-007",21116,"Jim Brook",2025-10-13,"Perlidae","Eccoptura xanthenes"
"RBV-2025-024",21117,"South Branch Bullet Hill Brook",2025-10-29,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-024",21117,"South Branch Bullet Hill Brook",2025-10-29,"Capniidae","Capniidae"
"RBV-2025-024",21117,"South Branch Bullet Hill Brook",2025-10-29,"Perlidae","Eccoptura xanthenes"
"RBV-2025-024",21117,"South Branch Bullet Hill Brook",2025-10-29,"Perlodidae","Isoperla"
"RBV-2025-024",21117,"South Branch Bullet Hill Brook",2025-10-29,"Isonychiidae","Isonychia"
"RBV-2025-021",21118,"Plumb Brook",2025-10-19,"Perlidae","Perlidae"
"RBV-2025-021",21118,"Plumb Brook",2025-10-19,"Peltoperlidae","Tallaperla"
"RBV-2025-021",21118,"Plumb Brook",2025-10-19,"Chloroperlidae","Sweltsa"
"RBV-2025-021",21118,"Plumb Brook",2025-10-19,"Nemouridae","Nemoura"
"RBV-2025-034",21119,"Sunset Hill Brook",2025-09-04,"Perlidae","Perlidae"
"RBV-2025-034",21119,"Sunset Hill Brook",2025-09-04,"Leuctridae","Leuctra"
"RBV-2025-037",21120,"Sawmill Brook",2025-10-26,"Perlidae","Perlidae"
"RBV-2025-037",21120,"Sawmill Brook",2025-10-26,"Pteronarcyidae","Pteronarcys biloba"
"RBV-2025-037",21120,"Sawmill Brook",2025-10-26,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-037",21120,"Sawmill Brook",2025-10-26,"Brachycentridae","Micrasema"
"RBV-2025-037",21120,"Sawmill Brook",2025-10-26,"Isonychiidae","Isonychia"
"RBV-2025-037",21120,"Sawmill Brook",2025-10-26,"Peltoperlidae","Tallaperla"
"RBV-2025-036",21121,"Fall Brook",2025-10-29,"Perlidae","Perlidae"
"RBV-2025-036",21121,"Fall Brook",2025-10-29,"Apataniidae","Apatania"
"RBV-2025-036",21121,"Fall Brook",2025-10-29,"Glossosomatidae","Glossosoma"
"RBV-2025-036",21121,"Fall Brook",2025-10-29,"Peltoperlidae","Tallaperla"
"RBV-2025-036",21121,"Fall Brook",2025-10-29,"Taeniopterygidae","Taeniopteryx"
