CTDEEPLablD,Stream,SID#/Station,Rep,Subsample Duplicate Notes,Device,Habitat,DATE_COL,SAMPTYPE,LAB_NAME,LAB_SAMPLE_ID,TAXONOMIST,LAB_TIN,TAXON_NAME,DEEPTaxaID,LIFE_STAGE,ABUNDANCE,%_SUB,CORRECTED,#_IN_RC,IMMATURE,INDETERMINATE,CONDITION,DISTINCT,AGGREGATED,LAB_COM,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES,ADDITIONS,SERIAL
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,1373,Corydalus sp.,(Not on List),Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,,,,Corydalidae,Corydalinae,,,Corydalus,,sp.,,,115033
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,3686,Nigronia serricornis,750,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,,,,Corydalidae,Chauliodinae,,,Nigronia,,Nigronia serricornis,,,115031
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,282,Ophiogomphus sp.,889,Larvae,2,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Gomphidae,,,,Ophiogomphus,,sp.,,,101738
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,363,Acroneuria sp.,339,Larvae,1,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Perlidae,,,,Acroneuria,,sp.,,,102917
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,378,Paragnetina media,359,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Perlidae,,,,Paragnetina,,Paragnetina media,,,102968
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,410,Taeniopterygidae,328,Larvae,3,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Taeniopterygidae,,,,,,,,,102788
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,420,Taeniopteryx sp.,331,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Taeniopterygidae,,,,Taeniopteryx,,sp.,,,102789
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,1225,Brachycentrus appalachia,347,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,Brachycentrus appalachia,,,116921
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,528,Micrasema sp.,759,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Brachycentridae,,,,Micrasema,,sp.,,,116958
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,536,Glossosoma sp.,762,Larvae,4,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Glossosomatidae,,,,Glossosoma,,sp.,,,117159
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,544,Cheumatopsyche sp.,770,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,sp.,,,115408
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,552,Hydropsyche morosa,14,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,Hydropsyche morosa,,,115581
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,561,Hydropsyche sparna,769,Larvae,4,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,Hydropsyche sparna,,,115527
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,637,Chimarra sp.,825,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Philopotamidae,,,,Chimarra,,sp.,,,115273
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,638,Dolophilodes sp.,829,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Philopotamidae,,,,Dolophilodes,,sp.,,,115319
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,1157,Hyalella sp.,437,N/A,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Hyalellidae,,,,Hyalella,,sp.,,,94025
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,4,Oligochaeta,651,N/A,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,,,,68422
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,465,Optioservus sp.,505,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,,Optioservus,,sp.,,,114177
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,500,Psephenus herricki,516,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Psephenidae,,,,Psephenus,,Psephenus herricki,,,114072
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,755,Hexatoma sp.,694,Larvae,3,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,,,,Tipulidae,Limoniinae,Hexatomini,,Hexatoma,,sp.,,,120094
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,183,Ephemerella sp.,456,Larvae,1,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Ephemerella,,sp.,,,101233
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,236,Maccaffertium sp.,67,Larvae,2,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Maccaffertium,,sp.,,,697957
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,251,Isonychia sp.,429,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Isonychiidae,,,,Isonychia,,sp.,,,101041
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,3686,Nigronia serricornis,750,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,,,,Corydalidae,Chauliodinae,,,Nigronia,,Nigronia serricornis,,,115031
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,2797,Boyeria vinosa,883,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Aeshnidae,,,,Boyeria,,Boyeria vinosa,,,101647
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,282,Ophiogomphus sp.,889,Larvae,1,N/A,N/A,0,N,Y,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Gomphidae,,,,Ophiogomphus,,sp.,,,101738
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,321,Sweltsa sp.,337,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Chloroperlidae,,,,Sweltsa,,sp.,,,103273
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,360,Acroneuria abnormis,340,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Perlidae,,,,Acroneuria,,Acroneuria abnormis,,,102919
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,1225,Brachycentrus appalachia,347,Larvae,3,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,Brachycentrus appalachia,,,116921
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,547,Hydropsyche bronta,766,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,Hydropsyche bronta,,,115578
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,561,Hydropsyche sparna,769,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,Hydropsyche sparna,,,115527
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,637,Chimarra sp.,825,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Philopotamidae,,,,Chimarra,,sp.,,,115273
RBV-2023-003,Flat Brook,16121,1,RBV,KN1M2,Riffle,9/16/2023,ABM-RBV,EcoAnalysts,8436.3-3,B. LaVoie,638,Dolophilodes sp.,829,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Philopotamidae,,,,Dolophilodes,,sp.,,,115319
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,477,Stenelmis sp.,509,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,,Stenelmis,,sp.,,,114095
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,477,Stenelmis sp.,509,Adults,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,,Stenelmis,,sp.,,,114095
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,500,Psephenus herricki,516,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Psephenidae,,,,Psephenus,,Psephenus herricki,,,114072
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,695,Atherix sp.,536,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Athericidae,,,,Atherix,,sp.,,,130929
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,765,Chironomidae,551,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Chironomidae,,,,,,,,,127917
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,209,Epeorus sp.,420,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Epeorus,,sp.,,,100626
RBV-2023-004,Salmon River,17022,1,RBV,KN1M2,Riffle,9/9/2023,ABM-RBV,EcoAnalysts,8436.3-4,B. LaVoie,251,Isonychia sp.,429,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Isonychiidae,,,,Isonychia,,sp.,,,101041
