"Stream_Mun","AWQ..Station","DATE_COL","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"Little Dam Tavern Brook (PUTNAM)",20876,"11/16/2023",NA,NA,NA,NA,"X",NA,"X",NA,"X",NA,"X",NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,"X",NA,"X","X","X","X",NA,NA,NA
"Conantville Brook (MANSFIELD)",20877,"11/15/2023",NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,"X","X","X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,"X","X","X",NA,"X",NA,NA
"Cooks Pond outlet; unnamed brook (PRESTON)",20878,"10/23/2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X",NA,NA,"X","X","X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"Scranton Brook (UNION)",20879,"11/30/2023",NA,NA,NA,"X","X",NA,"X","X",NA,"X",NA,"X","X","X","X","X",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,"X",NA,NA,NA
"Safford Brook (WOODSTOCK)",20880,"11/17/2023",NA,NA,"X","X","X",NA,"X","X","X",NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA
"Elbow Brook (EAST HAMPTON)",20881,"10/1/2023",NA,NA,NA,"X","X",NA,NA,"X","X","X",NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X","X",NA,NA,NA
"Burnham Brook (EAST HADDAM)",20882,"11/3/2023",NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"Harris Brook (SALEM)",20883,"11/3/2023",NA,"X",NA,NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,"X",NA,NA
"Fraser Brook (SALEM)",20884,"11/3/2023",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"NNT to Farmington River (BARKHAMSTED)",20885,"9/19/2023",NA,NA,NA,"X",NA,NA,"X",NA,NA,"X","X",NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,"X","X",NA,NA,NA,NA,NA
"Thompson Brook (AVON)",20886,"10/26/2023",NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,"X","X","X","X",NA,"X","X",NA,"X","X",NA,"X",NA,"X",NA,NA,"X",NA,NA,NA
"Morgan Brook (BARKHAMSTED)",20887,"9/17/2023",NA,"X",NA,NA,"X","X","X",NA,NA,"X",NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA
"Brothers Brook (GREENWICH)",20888,"11/9/2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"Greenwich Creek (GREENWICH)",20889,"11/28/2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
