"CTDEEP.LabID","STA_SEQ","Stream","DATE_COL","Family","finalID"
"RBV-2024-001",15314,"Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve","4/12/2024","Heptageniidae","Epeorus"
"RBV-2024-001",15314,"Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve","4/12/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-001",15314,"Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve","4/12/2024","Rhyacophilidae","Rhyacophila torva"
"RBV-2024-001",15314,"Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve","4/12/2024","Peltoperlidae","Tallaperla"
"RBV-2024-042",15370,"Saugatuck River","10/23/2024","Isonychiidae","Isonychia"
"RBV-2024-043",15370,"Saugatuck River","11/22/2024","Isonychiidae","Isonychia"
"RBV-2024-043",15370,"Saugatuck River","11/22/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-043",15370,"Saugatuck River","11/22/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-043",15370,"Saugatuck River","11/22/2024","Capniidae","Allocapnia"
"RBV-2024-042",15370,"Saugatuck River","10/23/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-040",15375,"Aspetuck River","10/22/2024","Glossosomatidae","Glossosoma"
"RBV-2024-040",15375,"Aspetuck River","10/22/2024","Lepidostomatidae","Lepidostoma"
"RBV-2024-040",15375,"Aspetuck River","10/22/2024","Isonychiidae","Isonychia"
"RBV-2024-061",15764,"Deep Brook","9/23/2024","Isonychiidae","Isonychia"
"RBV-2024-061",15764,"Deep Brook","9/23/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-061",15764,"Deep Brook","9/23/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-060",15764,"Deep Brook","9/23/2024","Glossosomatidae","Glossosoma"
"RBV-2024-055",15839,"Deep Brook","10/13/2024","Taeniopterygidae","Taeniopterygidae"
"RBV-2024-055",15839,"Deep Brook","10/13/2024","Isonychiidae","Isonychia"
"RBV-2024-055",15839,"Deep Brook","10/13/2024","Pteronarcyidae","Pteronarcys proteus"
"RBV-2024-055",15839,"Deep Brook","10/13/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-025",16121,"Flat Brook ","9/29/2024","Heptageniidae","Epeorus"
"RBV-2024-025",16121,"Flat Brook ","9/29/2024","Capniidae","Capniidae"
"RBV-2024-025",16121,"Flat Brook ","9/29/2024","Glossosomatidae","Glossosoma"
"RBV-2024-025",16121,"Flat Brook ","9/29/2024","Isonychiidae","Isonychia"
"RBV-2024-025",16121,"Flat Brook ","9/29/2024","Perlidae","Acroneuria"
"RBV-2024-019",16123,"Muddy Brook","9/7/2024","Glossosomatidae","Glossosoma"
"RBV-2024-019",16123,"Muddy Brook","9/7/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-004",16123,"Muddy Brook ","4/12/2024","Chloroperlidae","Sweltsa"
"RBV-2024-004",16123,"Muddy Brook ","4/12/2024","Heptageniidae","Epeorus"
"RBV-2024-004",16123,"Muddy Brook ","4/12/2024","Peltoperlidae","Tallaperla"
"RBV-2024-019",16123,"Muddy Brook","9/7/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-019",16123,"Muddy Brook","9/7/2024","Heptageniidae","Epeorus"
"RBV-2024-004",16123,"Muddy Brook ","4/12/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-039",16146,"Byram River","10/24/2024","Isonychiidae","Isonychia"
"RBV-2024-032",16324,"Dickinson Creek ","9/29/2024","Chloroperlidae","Sweltsa"
"RBV-2024-032",16324,"Dickinson Creek ","9/29/2024","Isonychiidae","Isonychia"
"RBV-2024-032",16324,"Dickinson Creek ","9/29/2024","Glossosomatidae","Glossosoma"
"RBV-2024-032",16324,"Dickinson Creek ","9/29/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-032",16324,"Dickinson Creek ","9/29/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-054",16420,"Pootatuck River","10/13/2024","Isonychiidae","Isonychia"
"RBV-2024-054",16420,"Pootatuck River","10/13/2024","Glossosomatidae","Glossosoma"
"RBV-2024-045",16431,"Sprain Brook","9/21/2024","Glossosomatidae","Glossosoma"
"RBV-2024-045",16431,"Sprain Brook","9/21/2024","Isonychiidae","Isonychia"
"RBV-2024-045",16431,"Sprain Brook","9/21/2024","Perlidae","Paragnetina"
"RBV-2024-029",16438,"Pine Brook ","10/13/2024","Perlidae","Paragnetina media"
"RBV-2024-029",16438,"Pine Brook ","10/13/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-029",16438,"Pine Brook ","10/13/2024","Lepidostomatidae","Lepidostoma"
"RBV-2024-029",16438,"Pine Brook ","10/13/2024","Glossosomatidae","Glossosoma"
"RBV-2024-029",16438,"Pine Brook ","10/13/2024","Isonychiidae","Isonychia"
"RBV-2024-047",16696,"Good Hill Brook","9/14/2024","Chloroperlidae","Sweltsa"
"RBV-2024-047",16696,"Good Hill Brook","9/14/2024","Perlidae","Acroneuria"
"RBV-2024-047",16696,"Good Hill Brook","9/14/2024","Peltoperlidae","Tallaperla"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Heptageniidae","Epeorus"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Taeniopterygidae","Taeniopterygidae"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Brachycentridae","Brachycentrus nigrosoma"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Perlodidae","Isoperla"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Peltoperlidae","Tallaperla"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Chloroperlidae","Sweltsa"
"RBV-2024-051",16697,"Goodwin Brook","10/19/2024","Glossosomatidae","Glossosoma"
"RBV-2024-035",17322,"Fourmile River","10/29/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-035",17322,"Fourmile River","10/29/2024","Perlidae","Acroneuria"
"RBV-2024-035",17322,"Fourmile River","10/29/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-026",17975,"Raymond Brook (upstream) ","10/30/2024","Isonychiidae","Isonychia"
"RBV-2024-026",17975,"Raymond Brook (upstream) ","10/30/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-028",17978,"Raymond Brook (Lower Assessment) ","10/30/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-028",17978,"Raymond Brook (Lower Assessment) ","10/30/2024","Apataniidae","Apatania"
"RBV-2024-028",17978,"Raymond Brook (Lower Assessment) ","10/30/2024","Taeniopterygidae","Taeniopterygidae"
"RBV-2024-028",17978,"Raymond Brook (Lower Assessment) ","10/30/2024","Isonychiidae","Isonychia"
"RBV-2024-028",17978,"Raymond Brook (Lower Assessment) ","10/30/2024","Capniidae","Allocapnia"
"RBV-2024-018",17992,"Big Brook ","10/5/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-058",18141,"Norwalk River","11/4/2024","Isonychiidae","Isonychia"
"RBV-2024-058",18141,"Norwalk River","11/4/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-058",18141,"Norwalk River","11/4/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-022",18409,"Fawn Brook ","10/16/2024","Isonychiidae","Isonychia"
"RBV-2024-022",18409,"Fawn Brook ","10/16/2024","Perlodidae","Isoperla"
"RBV-2024-022",18409,"Fawn Brook ","10/16/2024","Glossosomatidae","Glossosoma"
"RBV-2024-022",18409,"Fawn Brook ","10/16/2024","Heptageniidae","Epeorus"
"RBV-2024-022",18409,"Fawn Brook ","10/16/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-022",18409,"Fawn Brook ","10/16/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-036",18413,"Latimer Brook","10/28/2024","Perlidae","Acroneuria"
"RBV-2024-036",18413,"Latimer Brook","10/28/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-037",18495,"Latimer Brook","10/28/2024","Perlidae","Acroneuria"
"RBV-2024-037",18495,"Latimer Brook","10/28/2024","Glossosomatidae","Glossosoma"
"RBV-2024-037",18495,"Latimer Brook","10/28/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-017",18518,"Eightmile River (West Branch)","9/7/2024","Brachycentridae","Micrasema"
"RBV-2024-017",18518,"Eightmile River (West Branch)","9/7/2024","Heptageniidae","Epeorus"
"RBV-2024-017",18518,"Eightmile River (West Branch)","9/7/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-017",18518,"Eightmile River (West Branch)","9/7/2024","Isonychiidae","Isonychia"
"RBV-2024-016",18694,"Muddy Brook ","10/18/2024","Peltoperlidae","Tallaperla"
"RBV-2024-016",18694,"Muddy Brook ","10/18/2024","Chloroperlidae","Sweltsa"
"RBV-2024-016",18694,"Muddy Brook ","10/18/2024","Glossosomatidae","Glossosoma"
"RBV-2024-016",18694,"Muddy Brook ","10/18/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-034",18816,"Railroad Brook","10/27/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-006",18818,"Hedge Brook ","4/26/2024","Heptageniidae","Epeorus"
"RBV-2024-006",18818,"Hedge Brook ","4/26/2024","Chloroperlidae","Sweltsa"
"RBV-2024-006",18818,"Hedge Brook ","4/26/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-006",18818,"Hedge Brook ","4/26/2024","Perlodidae","Perlodidae"
"RBV-2024-006",18818,"Hedge Brook ","4/26/2024","Lepidostomatidae","Lepidostomatidae"
"RBV-2024-006",18818,"Hedge Brook ","4/26/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-027",18838,"Safstrom Brook","10/27/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-027",18838,"Safstrom Brook","10/27/2024","Isonychiidae","Isonychia"
"RBV-2024-011",19214,"Harris Brook ","10/11/2024","Isonychiidae","Isonychia"
"RBV-2024-007",19214,"Harris Brook ","4/26/2024","Heptageniidae","Epeorus"
"RBV-2024-007",19214,"Harris Brook ","4/26/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-011",19214,"Harris Brook ","10/11/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-007",19214,"Harris Brook ","4/26/2024","Isonychiidae","Isonychia"
"RBV-2024-011",19214,"Harris Brook ","10/11/2024","Taeniopterygidae","Taeniopterygidae"
"RBV-2024-011",19214,"Harris Brook ","10/11/2024","Peltoperlidae","Tallaperla"
"RBV-2024-007",19214,"Harris Brook ","4/26/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-011",19214,"Harris Brook ","10/11/2024","Capniidae","Capniidae"
"RBV-2024-009",19215,"Ransom (East) Brook ","10/11/2024","Perlidae","Paragnetina media"
"RBV-2024-009",19215,"Ransom (East) Brook ","10/11/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-009",19215,"Ransom (East) Brook ","10/11/2024","Peltoperlidae","Tallaperla"
"RBV-2024-002",19215,"Ransom Brook ","4/12/2024","Peltoperlidae","Tallaperla"
"RBV-2024-002",19215,"Ransom Brook ","4/12/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-002",19215,"Ransom Brook ","4/12/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-002",19215,"Ransom Brook ","4/12/2024","Nemouridae","Amphinemura"
"RBV-2024-002",19215,"Ransom Brook ","4/12/2024","Heptageniidae","Epeorus"
"RBV-2024-002",19215,"Ransom Brook ","4/12/2024","Perlodidae","Isoperla"
"RBV-2024-031",19455,"Blackledge River","10/16/2024","Capniidae","Allocapnia"
"RBV-2024-031",19455,"Blackledge River","10/16/2024","Isonychiidae","Isonychia"
"RBV-2024-031",19455,"Blackledge River","10/16/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-031",19455,"Blackledge River","10/16/2024","Heptageniidae","Epeorus"
"RBV-2024-031",19455,"Blackledge River","10/16/2024","Chloroperlidae","Chloroperlidae"
"RBV-2024-012",19458,"Roaring Brook ","10/11/2024","Peltoperlidae","Tallaperla"
"RBV-2024-012",19458,"Roaring Brook ","10/11/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-012",19458,"Roaring Brook ","10/11/2024","Isonychiidae","Isonychia"
"RBV-2024-012",19458,"Roaring Brook ","10/11/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-012",19458,"Roaring Brook ","10/11/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-021",20051,"Jeremy River","10/13/2024","Isonychiidae","Isonychia"
"RBV-2024-021",20051,"Jeremy River","10/13/2024","Perlodidae","Perlodidae"
"RBV-2024-021",20051,"Jeremy River","10/13/2024","Glossosomatidae","Glossosoma"
"RBV-2024-021",20051,"Jeremy River","10/13/2024","Perlidae","Paragnetina immarginata"
"RBV-2024-008",20492,"Burnham Brook ","4/26/2024","Perlodidae","Isoperla"
"RBV-2024-008",20492,"Burnham Brook ","4/26/2024","Peltoperlidae","Tallaperla"
"RBV-2024-015",20492,"Burnham Brook ","10/18/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-008",20492,"Burnham Brook ","4/26/2024","Leuctridae","Leuctra"
"RBV-2024-008",20492,"Burnham Brook ","4/26/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-023",20673,"Cabin Brook","10/19/2024","Peltoperlidae","Tallaperla"
"RBV-2024-023",20673,"Cabin Brook","10/19/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-023",20673,"Cabin Brook","10/19/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Glossosomatidae","Glossosoma"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Chloroperlidae","Sweltsa"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Heptageniidae","Epeorus"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Pteronarcyidae","Pteronarcys proteus"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Isonychiidae","Isonychia"
"RBV-2024-033",20796,"Flat Brook","11/2/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-003",20884,"Fraser Brook ","4/12/2024","Heptageniidae","Epeorus"
"RBV-2024-014",20884,"Frasier Brook ","10/18/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-003",20884,"Fraser Brook ","4/12/2024","Leuctridae","Leuctra"
"RBV-2024-014",20884,"Frasier Brook ","10/18/2024","Rhyacophilidae","Rhyacophila"
"RBV-2024-014",20884,"Frasier Brook ","10/18/2024","Peltoperlidae","Tallaperla"
"RBV-2024-003",20884,"Fraser Brook ","4/12/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-003",20884,"Fraser Brook ","4/12/2024","Peltoperlidae","Tallaperla"
"RBV-2024-003",20884,"Fraser Brook ","4/12/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-005",20975,"Harris Brook ","4/26/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-005",20975,"Harris Brook ","4/26/2024","Ephemerellidae","Drunella cornuta"
"RBV-2024-005",20975,"Harris Brook ","4/26/2024","Isonychiidae","Isonychia"
"RBV-2024-005",20975,"Harris Brook ","4/26/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Glossosomatidae","Glossosomatidae"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Brachycentridae","Micrasema"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Chloroperlidae","Sweltsa"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Rhyacophilidae","Rhyacophila torva"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Leuctridae","Leuctra"
"RBV-2024-020",20976,"No Name Tributary to (West Branch) Eightmile River","9/7/2024","Peltoperlidae","Tallaperla"
"RBV-2024-049",20977,"Stonehouse Brook","11/1/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-049",20977,"Stonehouse Brook","11/1/2024","Peltoperlidae","Tallaperla"
"RBV-2024-049",20977,"Stonehouse Brook","11/1/2024","Lepidostomatidae","Lepidostoma"
"RBV-2024-049",20977,"Stonehouse Brook","11/1/2024","Heptageniidae","Epeorus"
"RBV-2024-049",20977,"Stonehouse Brook","11/1/2024","Isonychiidae","Isonychia"
"RBV-2024-049",20977,"Stonehouse Brook","11/1/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-053",20978,"Mill Brook","11/16/2024","Heptageniidae","Epeorus"
"RBV-2024-053",20978,"Mill Brook","11/16/2024","Capniidae","Allocapnia"
"RBV-2024-053",20978,"Mill Brook","11/16/2024","Glossosomatidae","Glossosoma"
"RBV-2024-053",20978,"Mill Brook","11/16/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-053",20978,"Mill Brook","11/16/2024","Perlodidae","Perlodidae"
"RBV-2024-053",20978,"Mill Brook","11/16/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Capniidae","Capniidae"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Glossosomatidae","Glossosoma"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Perlodidae","Perlodidae"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Pteronarcyidae","Pteronarcys proteus"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Chloroperlidae","Chloroperlidae"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Ephemerellidae","Drunella"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Rhyacophilidae","Rhyacophila torva"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Heptageniidae","Epeorus"
"RBV-2024-056",20979,"North Branch Pootatuck River Headwaters","12/24/2024","Isonychiidae","Isonychia"
"RBV-2024-048",20980,"South Brook","9/14/2024","Perlidae","Paragnetina media"
"RBV-2024-048",20980,"South Brook","9/14/2024","Chloroperlidae","Chloroperlidae"
"RBV-2024-048",20980,"South Brook","9/14/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-046",20981,"Lewis Atwood Brook","9/21/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-044",20982,"East Spring Brook","9/22/2024","Perlidae","Acroneuria"
"RBV-2024-044",20982,"East Spring Brook","9/22/2024","Isonychiidae","Isonychia"
"RBV-2024-044",20982,"East Spring Brook","9/22/2024","Rhyacophilidae","Rhyacophila"
"RBV-2024-052",20983,"Blackmore Brook","11/6/2024","Capniidae","Allocapnia"
"RBV-2024-052",20983,"Blackmore Brook","11/6/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-052",20983,"Blackmore Brook","11/6/2024","Peltoperlidae","Tallaperla"
"RBV-2024-052",20983,"Blackmore Brook","11/6/2024","Lepidostomatidae","Lepidostoma"
"RBV-2024-052",20983,"Blackmore Brook","11/6/2024","Perlodidae","Perlodidae"
"RBV-2024-052",20983,"Blackmore Brook","11/6/2024","Brachycentridae","Brachycentrus appalachia"
