"","Waterbody","Station ID","Org Name","Date Collected","Total Most Wanted Count","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"19","Muddy Brook  (EAST HADDAM)",16123,"TRCC","4/12/2024",4, , ,"X","X","X", ,"X", , , , , ,"X", , , ,"X", , , , , , , , ,"X","X", , , , , 
"20","Muddy Brook (EAST HADDAM)",16123,"8MILE","9/7/2024",4, , ,"X", ,"X", , ,"X", , ,"X", ,"X","X","X","X", ,"X", , , , , , , , ,"X", ,"X", , , 
"21","Byram River (GREENWICH)",16146,"GIWWA","10/24/2024",1, ,"X", , , , , , , , , , ,"X","X","X", , , , , , , , , , , , , , , , , 
"22","Dickinson Creek  (COLCHESTER)",16324,"SRWP","9/29/2024",5, ,"X", , ,"X", ,"X","X", , ,"X", ,"X","X","X","X","X","X", , , , , , , ,"X","X","X","X", , , 
"23","Pootatuck River (NEWTOWN)",16420,"CVTU","10/13/2024",2, ,"X", , , , , ,"X", , , , ,"X","X", , , , , ,"X", , , , , , , , ,"X", , , 
"24","Sprain Brook (WOODBURY)",16431,"PRWC","9/21/2024",3, ,"X", , ,"X", , ,"X", , , , ,"X","X","X", ,"X", , , , , , ,"X", ,"X", , ,"X", , , 
"25","Pine Brook  (COLCHESTER)",16438,"SRWP","10/13/2024",5, ,"X", , ,"X", , ,"X", , ,"X","X","X","X","X", ,"X","X", , , , , ,"X", , ,"X", ,"X", , , 
"26","Good Hill Brook (WOODBURY)",16696,"PRWC","9/14/2024",3, , , ,"X","X", ,"X", , , , , ,"X","X","X", , ,"X", , , , , , , ,"X", , ,"X", , , 
"27","Goodwin Brook (CHAPLIN)",16697,"TLGV","10/19/2024",9, , ,"X","X","X", ,"X","X", ,"X","X", ,"X","X","X","X","X","X", , , , , , , ,"X","X","X","X", , , 
"28","Fourmile River (EAST LYME)",17322,"ELCC","10/29/2024",3, , , , ,"X", ,"X", , , ,"X", ,"X","X", , ,"X","X", ,"X", , , , , ,"X", , , , , , 
"29","Raymond Brook (upstream)  (HEBRON)",17975,"SRWP","10/30/2024",2, ,"X", , ,"X", , , , , , , ,"X","X", , ,"X","X", , , , , , , , ,"X", , , , , 
"30","Raymond Brook (Lower Assessment)  (HEBRON)",17978,"SRWP","10/30/2024",5, ,"X", , ,"X", ,"X", ,"X", , , ,"X","X","X","X","X","X","X", , , , , , ,"X","X", ,"X", , , 
"31","Big Brook  (SALEM)",17992,"8MILE","10/5/2024",1, , , , ,"X", , , , , , , ,"X","X","X","X","X","X","X", , , , ,"X", , ,"X","X", , , , 
"32","Norwalk River (RIDGEFIELD)",18141,"CVTU","11/4/2024",3, ,"X", , ,"X", ,"X", , , , , ,"X","X","X","X", , , ,"X","X","X", , , ,"X","X","X", , , , 
"33","Fawn Brook  (MARLBOROUGH)",18409,"SRWP","10/16/2024",6, ,"X","X", ,"X", ,"X","X", , , , ,"X","X", ,"X","X", , , , , , , , ,"X","X","X","X", , , 
"34","Latimer Brook (EAST LYME)",18413,"ELCC","10/28/2024",2, , , , ,"X", ,"X", , , , , ,"X","X","X", ,"X","X","X","X", , , , , , ,"X", , ,"X", , 
"35","Latimer Brook (EAST LYME)",18495,"ELCC","10/28/2024",3, , , , ,"X", , ,"X", , ,"X", ,"X","X","X","X","X","X", ,"X", , , , , ,"X","X", ,"X","X", , 
"36","Eightmile River (West Branch) (EAST HADDAM)",18518,"8MILE","9/7/2024",4, ,"X","X", ,"X", , , , , ,"X", ,"X", ,"X","X","X","X", , , , , , , , ,"X","X","X","X", , 
"37","Muddy Brook  (EAST HADDAM)",18694,"TRCC","10/18/2024",4, , , ,"X","X", ,"X","X", , , , ,"X","X","X", ,"X","X", , , , , , , ,"X","X","X", , , , 
"38","Railroad Brook (BOLTON)",18816,"BCC","10/27/2024",1, , , , ,"X", , , , , , , ,"X","X", ,"X","X","X", , , , , , , ,"X", ,"X", , , , 
"39","Hedge Brook  (EAST HADDAM)",18818,"TRCC","4/26/2024",6, , ,"X", ,"X", ,"X", , ,"X", ,"X","X","X","X","X","X", , , , , , ,"X", ,"X","X","X", , , , 
"40","Safstrom Brook (EAST HAMPTON)",18838,"SRWP","10/27/2024",2, ,"X", , ,"X", , , , , , , ,"X","X","X", ,"X","X", , , , , , , ,"X","X", ,"X", , , 
"41","Harris Brook  (SALEM)",19214,"TRCC","10/11/2024",5, ,"X", ,"X","X", ,"X", , , , , ,"X","X","X", ,"X","X","X", , , , , , , , , , , , , 
"42","Harris Brook  (SALEM)",19214,"TRCC","4/26/2024",4, ,"X","X", ,"X", , , , ,"X", , ,"X","X","X", ,"X","X", , , , , , , ,"X","X", ,"X", , , 
"43","Ransom (East) Brook  (SALEM)",19215,"TRCC","10/11/2024",3, , , ,"X","X", , , , , ,"X", ,"X", ,"X","X","X","X","X", , , , , , , ,"X", , , , , 
"44","Ransom Brook  (SALEM)",19215,"TRCC","4/12/2024",6, , ,"X","X","X", ,"X", , ,"X", , ,"X","X","X", ,"X","X", , , , , ,"X", , ,"X", , , , , 
"45","Blackledge River (MARLBOROUGH)",19455,"SRWP","10/16/2024",5, ,"X","X", ,"X", ,"X", , , , , ,"X","X","X","X", , , , , , , , , , , , ,"X", , , 
"46","Roaring Brook  (LYME)",19458,"TRCC","10/11/2024",5, ,"X", ,"X","X", , , , ,"X","X", ,"X","X","X","X","X","X", , , , , , , ,"X","X","X", ,"X", , 
"47","Jeremy River (COLCHESTER)",20051,"SRWP","10/13/2024",4, ,"X", , ,"X", ,"X","X", , , , ,"X","X","X","X","X","X", , , , , , , ,"X", ,"X","X","X", , 
"48","Burnham Brook  (EAST HADDAM)",20492,"TRCC","10/18/2024",1, , , , ,"X", , , , , , , ,"X","X","X", ,"X","X","X", , , , , , ,"X","X", , , , , 
"49","Burnham Brook  (EAST HADDAM)",20492,"TRCC","4/26/2024",4, , , ,"X","X", ,"X", , , , , ,"X","X","X","X","X", , , , , , , , ,"X","X", , , , , 
"50","Cabin Brook (Colchester)",20673,"SRWP","10/19/2024",3, , , ,"X","X", , , , ,"X", , ,"X","X","X", ,"X","X","X", , , , , , ,"X","X","X", , , , 
"51","Flat Brook (MARLBOROUGH)",20796,"SRWP","11/2/2024",7, ,"X","X", ,"X","X","X","X", ,"X", , ,"X","X","X","X","X","X", ,"X", , , , , ,"X","X","X", , , , 
"52","Frasier Brook  (SALEM)",20884,"TRCC","10/18/2024",3, , , ,"X","X", , , , ,"X", , ,"X","X","X", ,"X","X", , , , , , , , , , , , , , 
"53","Fraser Brook  (SALEM)",20884,"TRCC","4/12/2024",5, , ,"X","X","X", ,"X", , ,"X", , ,"X", ,"X","X","X", , , , , , , , ,"X","X", ,"X", , , 
"54","Harris Brook  (Salem)",20975,"TRCC","4/26/2024",4,"X","X", , ,"X", , , , ,"X", , ,"X","X", , ,"X", , , , , , ,"X", ,"X", , ,"X", , , 
"55","No Name Tributary to (West Branch) Eightmile River (East Haddam)",20976,"8MILE","9/7/2024",7, , , ,"X","X", ,"X","X", ,"X","X", ,"X","X","X", , ,"X", , , , , , , ,"X","X", ,"X", , , 
"56","Stonehouse Brook (Chaplin)",20977,"TLGV","11/1/2024",6, ,"X","X","X", , ,"X", , ,"X", ,"X","X","X","X", ,"X", , , , , , ,"X", ,"X","X","X", , , , 
"57","Mill Brook (Woodstock)",20978,"TLGV","11/16/2024",6, , ,"X", ,"X", ,"X","X", , , , ,"X","X","X","X", ,"X", , , , , , , ,"X","X","X", , , , 
"58","North Branch Pootatuck River Headwaters (Newtown)",20979,"CVTU","12/24/2024",11,"X","X","X", ,"X","X","X","X", ,"X", , ,"X","X","X", ,"X", , , , , , , , ,"X","X","X", , , , 
"59","South Brook (Woodbury)",20980,"PRWC","9/14/2024",3, , , , ,"X", ,"X", , , , , ,"X","X", ,"X","X", , , , , , ,"X", , , , ,"X", , , 
"60","Lewis Atwood Brook (Woodbury)",20981,"PRWC","9/21/2024",1, , , , , , , , , ,"X", , ,"X","X","X","X","X", , , , , , ,"X", ,"X","X","X","X","X", , 
"61","East Spring Brook (Bethlehem)",20982,"PRWC","9/22/2024",3, ,"X", , ,"X", , , , ,"X", , ,"X","X","X","X","X", , , , , , ,"X", ,"X", , ,"X","X", , 
"62","Blackmore Brook (Thompson)",20983,"TLGV","11/6/2024",6, , , ,"X","X", ,"X", , , ,"X","X","X","X","X", ,"X","X", , , , , , , ,"X","X","X", , , , 
