"Monitoring Location ID","Activity ID","Activity Start Date","Activity Metric Score","Activity Metric Value","Activity Metric Comment"
14445,"2025015 _TaxaMostW",2025-11-13,5,5,"DEEP Field ID:  RBV-2025-015  / Taxonomy Lab ID:  R24-30080.4-15"
17172,"2025016 _TaxaMostW",2025-05-31,4,4,"DEEP Field ID:  RBV-2025-016  / Taxonomy Lab ID:  R24-30080.4-16"
15375,"2025017 _TaxaMostW",2025-10-16,3,3,"DEEP Field ID:  RBV-2025-017  / Taxonomy Lab ID:  R24-30080.4-17"
20046,"2025018 _TaxaMostW",2025-09-21,2,2,"DEEP Field ID:  RBV-2025-018  / Taxonomy Lab ID:  R24-30080.4-18"
20378,"2025019 _TaxaMostW",2025-09-21,4,4,"DEEP Field ID:  RBV-2025-019  / Taxonomy Lab ID:  R24-30080.4-19"
16333,"2025020 _TaxaMostW",2025-09-20,0,0,"DEEP Field ID:  RBV-2025-020  / Taxonomy Lab ID:  R24-30080.4-20"
21118,"2025021 _TaxaMostW",2025-10-19,4,4,"DEEP Field ID:  RBV-2025-021  / Taxonomy Lab ID:  R24-30080.4-21"
17125,"2025022 _TaxaMostW",2025-09-20,1,1,"DEEP Field ID:  RBV-2025-022  / Taxonomy Lab ID:  R24-30080.4-22"
20486,"2025023 _TaxaMostW",2025-09-13,5,5,"DEEP Field ID:  RBV-2025-023  / Taxonomy Lab ID:  R24-30080.4-23"
21117,"2025024 _TaxaMostW",2025-10-29,5,5,"DEEP Field ID:  RBV-2025-024  / Taxonomy Lab ID:  R24-30080.4-24"
19455,"2025025 _TaxaMostW",2025-10-23,2,2,"DEEP Field ID:  RBV-2025-025  / Taxonomy Lab ID:  R24-30080.4-25"
20509,"2025026 _TaxaMostW",2025-10-14,5,5,"DEEP Field ID:  RBV-2025-026  / Taxonomy Lab ID:  R24-30080.4-26"
15045,"2025027 _TaxaMostW",2025-10-19,3,3,"DEEP Field ID:  RBV-2025-027  / Taxonomy Lab ID:  R24-30080.4-27"
18981,"2025028 _TaxaMostW",2025-10-11,3,3,"DEEP Field ID:  RBV-2025-028  / Taxonomy Lab ID:  R24-30080.4-28"
14396,"2025029 _TaxaMostW",2025-09-20,6,6,"DEEP Field ID:  RBV-2025-029  / Taxonomy Lab ID:  R24-30080.4-29"
17022,"2025030 _TaxaMostW",2025-09-06,3,3,"DEEP Field ID:  RBV-2025-030  / Taxonomy Lab ID:  R24-30080.4-30"
16121,"2025031 _TaxaMostW",2025-09-06,6,6,"DEEP Field ID:  RBV-2025-031  / Taxonomy Lab ID:  R24-30080.4-31"
20373,"2025032 _TaxaMostW",2025-09-06,3,3,"DEEP Field ID:  RBV-2025-032  / Taxonomy Lab ID:  R24-30080.4-32"
21115,"2025033 _TaxaMostW",2025-11-19,5,5,"DEEP Field ID:  RBV-2025-033  / Taxonomy Lab ID:  R24-30080.4-33"
21119,"2025034 _TaxaMostW",2025-09-04,2,2,"DEEP Field ID:  RBV-2025-034  / Taxonomy Lab ID:  R24-30080.4-34"
16657,"2025035 _TaxaMostW",2025-10-17,5,5,"DEEP Field ID:  RBV-2025-035  / Taxonomy Lab ID:  R24-30080.4-35"
21121,"2025036 _TaxaMostW",2025-10-29,5,5,"DEEP Field ID:  RBV-2025-036  / Taxonomy Lab ID:  R24-30080.4-36"
21120,"2025037 _TaxaMostW",2025-10-26,6,6,"DEEP Field ID:  RBV-2025-037  / Taxonomy Lab ID:  R24-30080.4-37"
16484,"2025038 _TaxaMostW",2025-10-23,5,5,"DEEP Field ID:  RBV-2025-038  / Taxonomy Lab ID:  R24-30080.4-38"
19252,"2025039 _TaxaMostW",2025-11-03,4,4,"DEEP Field ID:  RBV-2025-039  / Taxonomy Lab ID:  R24-30080.4-39"
19000,"2025040 _TaxaMostW",2025-11-04,8,8,"DEEP Field ID:  RBV-2025-040  / Taxonomy Lab ID:  R24-30080.4-40"
15312,"2025041 _TaxaMostW",2025-04-25,3,3,"DEEP Field ID:  RBV-2025-041  / Taxonomy Lab ID:  R24-30080.4-41"
19458,"2025042 _TaxaMostW",2025-04-25,6,6,"DEEP Field ID:  RBV-2025-042  / Taxonomy Lab ID:  R24-30080.4-42"
20976,"2025043 _TaxaMostW",2025-04-25,6,6,"DEEP Field ID:  RBV-2025-043  / Taxonomy Lab ID:  R24-30080.4-43"
16123,"2025044 _TaxaMostW",2025-04-25,4,4,"DEEP Field ID:  RBV-2025-044  / Taxonomy Lab ID:  R24-30080.4-44"
15314,"2025045 _TaxaMostW",2025-03-28,1,1,"DEEP Field ID:  RBV-2025-045  / Taxonomy Lab ID:  R24-30080.4-45"
21114,"2025046 _TaxaMostW",2025-10-17,3,3,"DEEP Field ID:  RBV-2025-046  / Taxonomy Lab ID:  R24-30080.4-46"
21113,"2025047 _TaxaMostW",2025-10-17,3,3,"DEEP Field ID:  RBV-2025-047  / Taxonomy Lab ID:  R24-30080.4-47"
15314,"2025048 _TaxaMostW",2025-10-17,4,4,"DEEP Field ID:  RBV-2025-048  / Taxonomy Lab ID:  R24-30080.4-48"
19458,"2025049 _TaxaMostW",2025-10-24,7,7,"DEEP Field ID:  RBV-2025-049  / Taxonomy Lab ID:  R24-30080.4-49"
15312,"2025050 _TaxaMostW",2025-10-24,4,4,"DEEP Field ID:  RBV-2025-050  / Taxonomy Lab ID:  R24-30080.4-50"
20883,"2025051 _TaxaMostW",2025-10-24,2,2,"DEEP Field ID:  RBV-2025-051  / Taxonomy Lab ID:  R24-30080.4-51"
21112,"2025052 _TaxaMostW",2025-10-24,3,3,"DEEP Field ID:  RBV-2025-052  / Taxonomy Lab ID:  R24-30080.4-52"
20884,"2025053 _TaxaMostW",2025-11-07,3,3,"DEEP Field ID:  RBV-2025-053  / Taxonomy Lab ID:  R24-30080.4-53"
15180,"2025054 _TaxaMostW",2025-11-07,4,4,"DEEP Field ID:  RBV-2025-054  / Taxonomy Lab ID:  R24-30080.4-54"
19215,"2025055 _TaxaMostW",2025-03-28,4,4,"DEEP Field ID:  RBV-2025-055  / Taxonomy Lab ID:  R24-30080.4-55"
20884,"2025056 _TaxaMostW",2025-03-28,5,5,"DEEP Field ID:  RBV-2025-056  / Taxonomy Lab ID:  R24-30080.4-56"
19214,"2025057 _TaxaMostW",2025-03-28,3,3,"DEEP Field ID:  RBV-2025-057  / Taxonomy Lab ID:  R24-30080.4-57"
15280,"2025058 _TaxaMostW",2025-09-17,3,3,"DEEP Field ID:  RBV-2025-058  / Taxonomy Lab ID:  R24-30080.4-58"
18734,"2025059 _TaxaMostW",2025-09-23,4,4,"DEEP Field ID:  RBV-2025-059  / Taxonomy Lab ID:  R24-30080.4-59"
14406,"2025060 _TaxaMostW",2025-10-16,3,3,"DEEP Field ID:  RBV-2025-060  / Taxonomy Lab ID:  R24-30080.4-60"
15205,"2025061 _TaxaMostW",2025-09-20,1,1,"DEEP Field ID:  RBV-2025-061  / Taxonomy Lab ID:  R24-30080.4-61"
20096,"2025062 _TaxaMostW",2025-10-21,2,2,"DEEP Field ID:  RBV-2025-062  / Taxonomy Lab ID:  R24-30080.4-62"
15128,"2025063 _TaxaMostW",2025-10-30,6,6,"DEEP Field ID:  RBV-2025-063  / Taxonomy Lab ID:  R24-30080.4-63"
