"adbSegID","AWQ..Station","WaterbodyName.x","Municipality","DATE_COL","RBV_most_wanted_count","ylat","xlong","stationsCommentTxt","lastUpdateDate","CT2022_A_1"
"CT7200-00_01",14445,"Saugatuck River","WESTPORT","10/21/2024",4,41.1693,-73.367,"Initial Site Number=SG1 or alias of =1581.01, R5, 48-001//site comments:Rotating chem only, RBV, at a pull off with signage for TMA, at base of Island Staples HS, just after Ford Road turns south and becomes North Clinton Avenue","10/5/2021","Fully Supporting"
"CT7200-00_02",15370,"Saugatuck River","WESTON","11/22/2024",4,41.1927,-73.3617,"Initial Site Number=R7 or alias of =//site comments:Weston/Westport Health District, sampled at a makeshift sand bank located at the rear of Keene Park (just off River Road) in Weston","10/5/2021","Fully Supporting"
"null",20977,"Stonehouse Brook","Chaplin","11/1/2024",6,41.806,-72.14423,"Established in 2024 as a new volunteer monitoring (RBV) site","12/18/2024",NA
"null",20978,"Mill Brook","Woodstock","11/16/2024",6,41.936966,-71.983153,"Established in 2024 as a new volunteer monitoring (RBV) site","12/18/2024",NA
"null",20983,"Blackmore Brook","Thompson","11/6/2024",6,41.95051,-71.80957,"Established in 2024 as a new volunteer monitoring (RBV) site","12/18/2024",NA
"null",20884,"Fraser Brook ","SALEM","4/12/2024",5,41.477781,-72.254441,"Established in 2023 as a new volunteer monitoring (RBV) site","1/3/2024",NA
"null",20975,"Harris Brook ","Salem","4/26/2024",4,41.475313,-72.279199,"Established in 2024 as a new volunteer monitoring (RBV) site","12/18/2024",NA
"null",20976,"NNT to Eightmile River","East Haddam","9/7/2024",7,41.48322,-72.34044,"Established in 2024 as a new volunteer monitoring (RBV) site","12/18/2024",NA
"null",20796,"Flat Brook","MARLBOROUGH","11/2/2024",7,41.67589,-72.463977,"Established 2022 as a new volunteer monitoring (RBV) site","11/22/2022",NA
"null",20979,"North Branch Pootatuck River","Newtown","12/24/2024",11,41.376356,-73.277479,"Established in 2024 as a new volunteer monitoring (RBV) site","12/18/2024",NA
